date,school_closing,workplace_closing,cancel_events,gatherings_restrictions,transport_closing,stay_home_restrictions,internal_movement_restrictions,international_movement_restrictions,information_campaigns,testing_policy,contact_tracing,facial_coverings,vaccination_policy,elderly_people_protection,district,fed_state,mean_incidence,num_of_entries
2020-02-26,-2,0,0,0,0,0,0,0,2,1,2,0,0,0,LK Waldshut,Baden-Württemberg,,0
2020-02-28,-2,0,0,0,0,0,0,1,2,1,2,0,0,1,LK Waldshut,Baden-Württemberg,,0
2020-02-04,0,0,0,0,0,0,0,0,1,1,2,0,0,0,LK Waldshut,Baden-Württemberg,,0
2020-02-20,0,0,0,0,0,0,0,0,2,1,2,0,0,0,LK Waldshut,Baden-Württemberg,,0
2020-01-23,0,0,0,0,0,0,0,0,0,0,2,0,0,0,LK Waldshut,Baden-Württemberg,,0
2020-01-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LK Waldshut,Baden-Württemberg,,0
2020-03-07,-2,0,1,0,0,0,0,1,2,1,2,0,0,1,LK Nordwestmecklenburg,Mecklenburg-Vorpommern,,0
2020-03-12,-2,0,-2,-1,0,1,0,1,2,1,2,0,0,1,LK Nordwestmecklenburg,Mecklenburg-Vorpommern,,0
2020-03-16,-3,0,-2,-1,0,1,0,3,2,1,2,0,0,1,LK Nordwestmecklenburg,Mecklenburg-Vorpommern,1.595110030689917,2
2020-03-19,3,0,-2,-1,0,1,-2,4,2,1,1,0,0,1,LK Nordwestmecklenburg,Mecklenburg-Vorpommern,8.932616171863536,1
2020-03-20,3,0,2,-1,0,1,-2,4,2,1,1,0,0,1,LK Nordwestmecklenburg,Mecklenburg-Vorpommern,,0
2020-03-21,3,0,2,-4,0,-2,-2,4,2,1,1,0,0,1,LK Nordwestmecklenburg,Mecklenburg-Vorpommern,9.570660184139502,1
2020-03-22,3,2,2,4,0,-2,-2,4,2,1,1,0,0,3,LK Nordwestmecklenburg,Mecklenburg-Vorpommern,7.146092937490829,5
2020-04-01,3,2,2,4,0,-2,-2,4,2,1,1,1,0,3,LK Nordwestmecklenburg,Mecklenburg-Vorpommern,12.548198908094014,3
2020-04-06,3,2,2,4,0,-2,-2,4,2,1,1,-2,0,3,LK Nordwestmecklenburg,Mecklenburg-Vorpommern,5.795566444840031,12
2020-04-28,3,2,2,4,0,-2,-2,4,2,1,1,2,0,3,LK Nordwestmecklenburg,Mecklenburg-Vorpommern,4.466308085931768,1
2020-04-30,3,2,2,4,0,-2,-2,4,2,3,1,2,0,3,LK Nordwestmecklenburg,Mecklenburg-Vorpommern,3.828264073655801,1
2020-05-04,2,2,2,-4,0,-2,-2,4,2,3,1,2,0,3,LK Nordwestmecklenburg,Mecklenburg-Vorpommern,1.2760880245519337,1
2020-05-06,2,2,2,-4,0,0,-2,4,2,3,1,2,0,3,LK Nordwestmecklenburg,Mecklenburg-Vorpommern,,0
2020-05-07,2,-2,2,-4,0,0,-2,4,2,3,1,2,0,3,LK Nordwestmecklenburg,Mecklenburg-Vorpommern,,0
2020-05-14,2,-2,2,-4,0,0,-2,4,2,3,1,2,0,-3,LK Nordwestmecklenburg,Mecklenburg-Vorpommern,0.6380440122759667,1
2020-05-16,2,-2,2,-4,0,0,-2,3,2,3,1,2,0,-3,LK Nordwestmecklenburg,Mecklenburg-Vorpommern,,0
2020-05-23,-2,-2,2,-4,0,0,-2,3,2,3,1,2,0,2,LK Nordwestmecklenburg,Mecklenburg-Vorpommern,,0
2020-07-04,-3,-2,2,-4,0,0,-2,3,2,3,2,2,0,2,LK Nordwestmecklenburg,Mecklenburg-Vorpommern,0.0,1
2020-07-07,1,-2,2,-3,0,0,-2,3,2,3,2,2,0,2,LK Nordwestmecklenburg,Mecklenburg-Vorpommern,0.850725349701289,3
